,Model Name,Engine Type,HP or lbs thr ea engine,Max speed Knots,Rcmnd cruise Knots,Stall Knots dirty,Fuel gal/lbs,All eng rate of climb,Landing over 50ft,Empty weight lbs,Price,Total_Length_in,Total_Span_in
123,28 Longhorn,Piston,285.0,181.0,174.0,53.0,50,1200.0,3300.0,1918.0,1830000.0,306.0,393.0
124,"25 D,F w/6 engs=45,000 service ceiling (prior '82 more rate of climb)",Piston,285.0,182.0,172.0,51.0,74,1167.0,3400.0,2125.0,1785800.0,320.0,402.0
125,100 Darter (S.L. Industries),Piston,285.0,181.0,174.0,53.0,50,1200.0,3300.0,1915.0,1830000.0,306.0,394.0
126,25 C (1973 thru 1975),Piston,225.0,170.0,161.0,52.0,50,930.0,3050.0,1862.0,1780000.0,306.0,394.0
127,100 Darter (S.L. Industries),Piston,285.0,181.0,174.0,53.0,50,1200.0,3300.0,1775.0,1830000.0,306.0,394.0
128,"24 F (w/8A engs=51,000 service ceil)",Piston,225.0,170.0,161.0,52.0,50,980.0,3050.0,1854.0,1830000.0,306.0,394.0
129,100 Darter (S.L. Industries),Piston,225.0,170.0,161.0,52.0,50,960.0,3000.0,1745.0,1840000.0,306.0,394.0
130,24 D (1973 thru 1975),Piston,225.0,170.0,161.0,52.0,50,1010.0,2900.0,1730.0,1980000.0,305.0,392.0
131,100 Darter (S.L. Industries),Piston,200.0,145.0,137.0,60.0,57,927.0,2750.0,1696.0,1538500.0,309.0,393.0
132,24 C,Piston,200.0,140.0,131.0,55.0,52,891.0,2750.0,1711.0,1434200.0,308.0,393.0
133,100 Darter (S.L. Industries),Piston,200.0,148.0,141.0,57.0,58,862.0,2750.0,1610.0,1435000.0,308.0,393.0
134,24 Twin Jet,Piston,200.0,137.0,130.0,52.0,60,880.0,2550.0,1410.0,1485000.0,301.0,391.0
135,100 Darter (S.L. Industries),Piston,180.0,128.0,116.0,51.0,57,792.0,2450.0,1494.0,1260000.0,309.0,393.0
136,100 Darter (S.L. Industries),Piston,180.0,127.0,120.0,50.0,60,728.0,2400.0,1375.0,1187000.0,301.0,391.0
137,650 Citation VII,Piston,165.0,127.0,120.0,50.0,60,880.0,2350.0,1325.0,1187000.0,301.0,391.0
138,650 Citation VI,Piston,160.0,123.0,111.0,52.0,60,720.0,2300.0,1300.0,1350000.0,301.0,391.0
139,100 Darter (S.L. Industries),Piston,150.0,110.0,107.0,50.0,57,680.0,2150.0,1414.0,1165000.0,309.0,393.0
140,650 Citation III (thru SN 099),Piston,150.0,122.0,114.0,48.0,60,900.0,2200.0,1325.0,1490000.0,301.0,391.0
141,100 Darter (S.L. Industries),Piston,115.0,106.0,97.0,47.0,29,720.0,1675.0,1103.0,1290000.0,288.0,360.0
142,100 Darter (S.L. Industries),Piston,300.0,193.0,187.0,61.0,68,1170.0,3325.0,2372.0,2400000.0,316.0,410.0
143,100 Darter (S.L. Industries),Piston,300.0,174.0,165.0,61.0,68,1170.0,3325.0,2247.0,1820000.0,316.0,410.0
144,S550 Citation SII,Piston,250.0,193.0,187.0,54.0,72,1800.0,3200.0,2010.0,2400000.0,283.0,410.0
145,Citation II 550 (thru SN 626),Piston,300.0,181.0,176.0,61.0,68,1210.0,3325.0,2185.0,2000000.0,316.0,410.0
146,100 Darter (S.L. Industries),Piston,300.0,166.0,163.0,61.0,60,1085.0,3325.0,2217.0,1700000.0,316.0,410.0
147,Citation CJ3 525B,Piston,300.0,167.0,163.0,54.0,58,1840.0,3200.0,1900.0,2100000.0,283.0,410.0
148,100 Darter (S.L. Industries),Piston,260.0,181.0,177.0,54.0,58,1500.0,3000.0,1750.0,2250000.0,282.0,410.0
149,100 Darter (S.L. Industries),Piston,230.0,179.0,170.0,42.0,40,1400.0,2700.0,1640.0,2000000.0,273.0,410.0
150,Citation I 500,Piston,190.0,174.0,157.0,38.0,40,1250.0,2600.0,1575.0,2150000.0,276.0,410.0
151,100 Darter (S.L. Industries),Piston,150.0,147.0,130.0,38.0,40,1100.0,2100.0,1520.0,1950000.0,254.0,410.0
152,402C Business Liner II,Jet,3700.0,455.0,417.0,60.766877637130804,6707,4059.0,21500.0,12135.0,5100000.0,661.0,525.0
153,"402,-A turbocharged",Jet,3700.0,457.0,198.68553459119497,60.766877637130804,6707,4380.0,19500.0,12130.0,5100000.0,661.0,525.0
154,100 Darter (S.L. Industries),Jet,8650.0,480.0,442.0,60.766877637130804,16665,4200.0,43250.0,19950.0,4100000.0,821.0,742.0
155,100 Darter (S.L. Industries),Jet,7500.0,480.0,442.0,60.766877637130804,14890,3400.0,41400.0,18660.0,4100000.0,821.0,742.0
156,T 310 P turbocharged,Jet,3500.0,491.0,460.0,99.0,7400,4340.0,18300.0,9838.0,4500000.0,584.0,474.0
157,310 Q,Jet,3500.0,477.0,441.0,105.0,7431,5100.0,17000.0,8802.0,4500000.0,583.0,473.0
158,100 Darter (S.L. Industries),Jet,3500.0,471.0,460.0,99.0,6198,4760.0,18300.0,9838.0,4500000.0,584.0,474.0
159,100 Darter (S.L. Industries),Jet,3500.0,477.0,441.0,105.0,6171,5100.0,17000.0,8762.0,4500000.0,583.0,473.0
160,100 Darter (S.L. Industries),Jet,2950.0,478.0,441.0,79.0,5373,6110.0,15000.0,8157.0,4790000.0,571.0,525.0
161,"310,-A",Jet,2950.0,475.0,441.0,79.0,4704,6350.0,15000.0,8195.0,4880000.0,571.0,525.0
162,"T 337 G-P II,H-P, Skymaster pressurized",Jet,2950.0,464.0,459.0,97.0,6098,6830.0,15000.0,7950.0,5100000.0,571.0,427.0
163,100 Darter (S.L. Industries),Jet,2950.0,464.0,441.0,104.0,6098,6050.0,15000.0,7355.0,4500000.0,570.0,427.0
164,T 337 E & F Skymaster turbocharged,Jet,2950.0,464.0,441.0,104.0,7464,6050.0,15000.0,7233.0,4500000.0,570.0,427.0
165,100 Darter (S.L. Industries),Jet,2950.0,477.0,442.0,90.0,6098,6050.0,15000.0,7206.0,4500000.0,570.0,426.0
166,T 337 C Skymaster turbocharged,Jet,2950.0,475.0,441.0,88.0,5628,7100.0,13500.0,7130.0,4500000.0,519.0,426.0
167,100 Darter (S.L. Industries),Jet,2950.0,477.0,441.0,88.0,4791,7220.0,12900.0,7025.0,4500000.0,519.0,426.0
168,"337 G,H II Skymaster (prior '79 service ceiling=18,000)",Jet,2950.0,464.0,441.0,99.0,5628,6800.0,13500.0,6988.0,4500000.0,519.0,427.0
169,100 Darter (S.L. Industries),Jet,2950.0,477.0,442.0,87.0,840,6800.0,13500.0,6803.0,4500000.0,519.0,426.0
170,337 E Skymaster,Jet,2950.0,461.0,442.0,88.0,715,6900.0,12500.0,6519.0,4500000.0,519.0,426.0
171,100 Darter (S.L. Industries),Jet,2950.0,474.0,437.0,88.0,834,6300.0,13500.0,6927.0,4500000.0,519.0,427.0
172,337 C Skymaster,Jet,2850.0,469.0,417.0,90.0,847,6300.0,13000.0,7090.0,4100000.0,518.0,427.0
173,100 Darter (S.L. Industries),Jet,2850.0,488.0,423.0,89.0,828,6900.0,12500.0,6700.0,4100000.0,518.0,427.0
174,208 Caravan-675,Jet,6400.0,613.4,511.0,60.766877637130804,13000,3720.0,35700.0,21400.0,5100000.0,866.0,765.0
175,100 Darter (S.L. Industries),Jet,4000.0,566.7,476.0,97.0,7385,4442.0,22450.0,13700.0,5100000.0,665.0,641.0
176,100 Darter (S.L. Industries),Jet,3650.0,473.0,198.68553459119497,97.0,7385,1520.0,22000.0,12775.0,5100000.0,665.0,641.0
177,"T 210 K,L Turbo (K=9 mph less speed)",Jet,3650.0,472.0,461.0,97.0,7384,3699.0,22000.0,11811.0,5100000.0,666.0,642.0
178,100 Darter (S.L. Industries),Jet,3650.0,472.0,198.68553459119497,89.0,7384,3909.0,21000.0,11720.0,5100000.0,666.0,642.0
180,100 Darter (S.L. Industries),Jet,3400.0,503.4,427.0,83.0,5440,4500.0,16830.0,9977.0,4500000.0,585.0,649.0
186,100 Darter (S.L. Industries),Jet,2820.0,491.4,351.0,60.766877637130804,4710,2460.0,13870.0,8300.0,4500000.0,602.0,640.0
187,"U206E,F, float ('75-'76 specs) '76=+4 gal fuel",Jet,1900.0,473.4,380.0,85.0,3220,3311.0,10400.0,6550.0,4100000.0,510.0,560.0
192,100 Darter (S.L. Industries),Propjet,625.0,295.0,283.0,76.0,475,2435.0,9850.0,5682.0,3500000.0,468.0,592.0
193,"U206 F,G II ('75 up) '75 lgt=28/9 + prior'79 less fuel)",Propjet,450.0,263.0,198.68553459119497,84.0,366,1861.0,8600.0,4948.0,3340000.0,430.0,529.0
194,100 Darter (S.L. Industries),Propjet,450.0,263.0,250.0,79.0,366,2027.0,8200.0,4915.0,3470000.0,430.0,529.0
195,U 206 A,Piston,375.0,257.0,241.0,74.0,213,1940.0,7450.0,5048.0,3020000.0,437.0,493.0
196,100 Darter (S.L. Industries),Piston,375.0,245.0,235.0,74.0,175,1850.0,7450.0,4426.0,3100000.0,433.0,501.0
197,"TP 206A,B,C,D,E (E=35/10 span) (A=28/0 lgt)",Piston,375.0,240.0,227.0,76.0,175,1700.0,6840.0,4252.0,2600000.0,404.0,477.0
198,100 Darter (S.L. Industries),Piston,375.0,240.0,222.0,76.0,170,1700.0,6800.0,4237.0,2600000.0,401.0,477.0
199,206H Stationair,Piston,310.0,235.0,224.0,72.0,213,1520.0,6750.0,4543.0,3080000.0,436.0,529.0
200,100 Darter (S.L. Industries),Piston,310.0,239.0,224.0,70.0,102,1580.0,6350.0,4039.0,3010000.0,405.0,479.0
201,P 206 Super Skylane,Piston,340.0,231.0,214.0,72.0,175,1900.0,6500.0,3865.0,2600000.0,401.0,477.0
202,100 Darter (S.L. Industries),Piston,375.0,232.0,217.0,70.0,348,1575.0,8400.0,4965.0,2600000.0,474.0,556.0
203,195 B,Piston,325.0,230.0,213.0,68.0,213,1450.0,6850.0,4238.0,2690000.0,436.0,529.0
204,100 Darter (S.L. Industries),Piston,300.0,229.0,210.0,70.0,102,1610.0,6300.0,4038.0,2618000.0,433.0,479.0
205,195,Piston,300.0,227.0,209.0,69.0,102,1610.0,6300.0,3719.0,2618000.0,428.0,477.0
206,100 Darter (S.L. Industries),Piston,300.0,227.0,209.0,69.0,102,1610.0,6300.0,3674.0,2618000.0,404.0,477.0
207,T 188C Ag Husky (prior'81=4 mph less),Piston,310.0,243.0,229.0,71.0,102,1650.0,5990.0,4184.0,2980000.0,412.0,457.0
208,100 Darter (S.L. Industries),Piston,285.0,226.0,210.0,71.0,102,1500.0,5975.0,3730.0,2650000.0,412.0,457.0
209,A188B Ag Wagon ('79 & up) dispersal sys,Piston,300.0,230.0,215.0,71.0,102,1400.0,5990.0,3963.0,2680000.0,412.0,457.0
210,100 Darter (S.L. Industries),Piston,285.0,239.0,226.0,64.0,102,1924.0,5300.0,3273.0,2900000.0,354.0,441.0
211,A188 Ag Wagon restricted (prior'77=7/10 hgt),Piston,260.0,229.0,213.0,63.0,102,1820.0,5200.0,3260.0,2810000.0,354.0,441.0
212,100 Darter (S.L. Industries),Piston,260.0,230.0,204.0,68.0,102,1820.0,4990.0,3190.0,2810000.0,353.0,441.0
213,188 Ag Pickup fixed-prop ('72) restricted,Piston,285.0,237.0,223.0,70.0,102,1700.0,5500.0,3723.0,2740000.0,383.0,443.0
214,100 Darter (S.L. Industries),Piston,285.0,238.0,225.0,67.0,102,1790.0,5500.0,3292.0,2820000.0,354.0,441.0
